File Number	All Scores Equal	RMSE
64	25.098039215686274	54.38044683147029
65	25.49019607843137	54.069132727222815
66	25.882352941176475	53.75887651287888
67	26.27450980392157	53.44969661409929
68	26.666666666666668	53.14161181381577
69	27.058823529411764	52.83464127419951
70	27.450980392156865	52.52880452421151
71	27.84313725490196	52.22412148384241
72	28.235294117647058	51.92061246982797
73	28.627450980392155	51.61829818449441
74	29.01960784313726	51.31719974326513
75	29.411764705882355	51.01733867688986
76	29.80392156862745	50.71873693222642
77	30.19607843137255	50.42141688217134
78	30.58823529411765	50.12540133316204
79	30.980392156862745	49.83071353052878
80	31.372549019607842	49.5373771740329
81	31.76470588235294	49.24541641259562
82	32.15686274509804	48.95485585582436
83	32.549019607843135	48.66572058709555
84	32.94117647058823	48.3780361593958
85	33.33333333333333	48.091828607409674
86	33.72549019607843	47.807124461093885
87	34.11764705882353	47.52395073623435
88	34.509803921568626	47.24233495643018
89	34.90196078431372	46.96230514492002
90	35.294117647058826	46.683889843788315
91	35.68627450980392	46.40711810889421
92	36.07843137254902	46.13201952667018
93	36.470588235294116	45.85862420629135
94	36.86274509803922	45.58696279083996
95	37.254901960784316	45.317066464157776
96	37.64705882352941	45.04896695338302
97	38.03921568627451	44.78269652411092
98	38.43137254901961	44.518288001623816
99	38.82352941176471	44.25577475174025
100	39.21568627450981	43.9951907066863
101	39.6078431372549	43.73657034890915
102	40.0	43.47994871722235
103	40.3921568627451	43.2253614097766
104	40.78431372549019	42.97284458295478
105	41.17647058823529	42.72243495035447
106	41.568627450980394	42.4741697823011
107	41.96078431372549	42.22808689985313
108	42.35294117647059	41.984224676501626
109	42.745098039215684	41.74262203482472
110	43.13725490196079	41.503318434860546
111	43.529411764705884	41.266353868536136
112	43.92156862745098	41.03176886638931
113	44.31372549019608	40.79960446872077
114	44.70588235294118	40.56990223698725
115	45.09803921568628	40.34270422443211
116	45.490196078431374	40.118052978859694
117	45.88235294117647	39.89599152177059
118	46.27450980392157	39.67656333707431
119	46.666666666666664	39.45981235194741
120	47.05882352941176	39.24578292684072
121	47.45098039215686	39.03451982841571
122	47.84313725490196	38.82606821439051
123	48.23529411764706	38.620473607329984
124	48.627450980392155	38.41778188012198
125	49.01960784313725	38.21803921172189
126	49.411764705882355	38.02129208780752
127	49.80392156862745	37.82758724452045
128	50.19607843137255	37.63697165654739
129	50.588235294117645	37.449492496998324
130	50.98039215686274	37.265197104109006
131	51.37254901960784	37.08413294169695
132	51.76470588235295	36.90634756821414
133	52.156862745098046	36.73188859171758
134	52.54901960784314	36.56080363617399
135	52.94117647058824	36.39314027900128
136	53.333333333333336	36.228946027044174
137	53.72549019607843	36.06826825623885
138	54.11764705882353	35.911154171992045
139	54.509803921568626	35.7576507463059
140	54.90196078431373	35.607804673659345
141	55.294117647058826	35.46166232257133
142	55.68627450980392	35.31926966323139
143	56.07843137254902	35.18067222931797
144	56.470588235294116	35.04591504728099
145	56.86274509803921	34.915042580370155
146	57.25490196078431	34.78809867285908
147	57.647058823529406	34.665126486763796
148	58.03921568627452	34.54616843086663
149	58.43137254901961	34.43126611607957
